p1,p2,p1_wins_cards,p1_wins_tricks,p2_wins_cards,p2_wins_tricks,draws_cards,draws_tricks
000,001,51983,44739,55883,48548,2201,16780
000,010,30719,23312,77628,73134,1720,13621
000,011,19479,12424,88431,84661,2157,12982
000,100,0,112,110066,109523,1,432
000,101,27895,18508,79834,76391,2338,15168
000,110,1085,941,108712,106368,270,2758
000,111,53491,35718,53436,36061,3140,38288
001,000,55883,48548,51983,44739,2201,16780
001,010,95033,88288,13601,12771,1433,9008
001,011,105118,97031,4007,5643,942,7393
001,100,206,3010,109815,102793,46,4264
001,101,100817,87205,7689,12638,1561,10224
001,110,52511,44758,52591,45230,4965,20079
001,111,108702,106451,1088,931,277,2685
010,000,77628,73134,30719,23312,1720,13621
010,001,13601,12771,95033,88288,1433,9008
010,011,53708,47558,53226,47451,3133,15058
010,100,46294,46635,61506,48593,2267,14839
010,101,53702,44826,53744,44527,2621,20714
010,110,7580,12487,100958,87155,1529,10425
010,111,79909,76292,27727,18422,2431,15353
011,000,88431,84661,19479,12424,2157,12982
011,001,4007,5643,105118,97031,942,7393
011,010,53226,47451,53708,47558,3133,15058
011,100,53436,47557,53470,47451,3161,15059
011,101,61227,48283,46468,46833,2372,14951
011,110,109788,102820,220,2949,59,4298
011,111,110066,109482,1,108,0,477
100,000,110066,109523,0,112,1,432
100,001,109815,102793,206,3010,46,4264
100,010,61506,48593,46294,46635,2267,14839
100,011,53470,47451,53436,47557,3161,15059
100,101,53347,47493,53486,47535,3234,15039
100,110,3895,5711,105283,97238,889,7118
100,111,88364,84596,19588,12376,2115,13095
101,000,79834,76391,27895,18508,2338,15168
101,001,7689,12638,100817,87205,1561,10224
101,010,53744,44527,53702,44826,2621,20714
101,011,46468,46833,61227,48283,2372,14951
101,100,53486,47535,53347,47493,3234,15039
101,110,13740,12817,94797,88179,1530,9071
101,111,77835,73136,30532,23334,1700,13597
110,000,108712,106368,1085,941,270,2758
110,001,52591,45230,52511,44758,4965,20079
110,010,100958,87155,7580,12487,1529,10425
110,011,220,2949,109788,102820,59,4298
110,100,105283,97238,3895,5711,889,7118
110,101,94797,88179,13740,12817,1530,9071
110,111,55831,48341,52053,44652,2183,17074
111,000,53436,36061,53491,35718,3140,38288
111,001,1088,931,108702,106451,277,2685
111,010,27727,18422,79909,76292,2431,15353
111,011,1,108,110066,109482,0,477
111,100,19588,12376,88364,84596,2115,13095
111,101,30532,23334,77835,73136,1700,13597
111,110,52053,44652,55831,48341,2183,17074
