p1,p2,p1_wins_cards,p1_wins_tricks,p2_wins_cards,p2_wins_tricks,draws_cards,draws_tricks
000,001,3.0,1.0,5.0,5.0,1.0,3.0
000,010,3.0,4.0,6.0,5.0,0.0,0.0
000,011,2.0,0.0,7.0,8.0,0.0,1.0
000,100,0.0,0.0,9.0,9.0,0.0,0.0
000,101,3.0,4.0,5.0,4.0,1.0,1.0
000,110,0.0,0.0,9.0,9.0,0.0,0.0
000,111,5.0,3.0,3.0,2.0,1.0,4.0
001,000,5.0,5.0,3.0,1.0,1.0,3.0
001,010,8.0,6.0,1.0,1.0,0.0,2.0
001,011,9.0,9.0,0.0,0.0,0.0,0.0
001,100,0.0,0.0,9.0,9.0,0.0,0.0
001,101,8.0,8.0,1.0,1.0,0.0,0.0
001,110,6.0,4.0,3.0,3.0,0.0,2.0
001,111,9.0,9.0,0.0,0.0,0.0,0.0
010,000,6.0,5.0,3.0,4.0,0.0,0.0
010,001,1.0,1.0,8.0,6.0,0.0,2.0
010,011,2.0,1.0,7.0,8.0,0.0,0.0
010,100,1.0,1.0,8.0,7.0,0.0,1.0
010,101,4.0,5.0,5.0,3.0,0.0,1.0
010,110,0.0,1.0,9.0,8.0,0.0,0.0
010,111,5.0,5.0,4.0,3.0,0.0,1.0
011,000,7.0,8.0,2.0,0.0,0.0,1.0
011,001,0.0,0.0,9.0,9.0,0.0,0.0
011,010,7.0,8.0,2.0,1.0,0.0,0.0
011,100,4.0,3.0,5.0,4.0,0.0,2.0
011,101,8.0,7.0,1.0,2.0,0.0,0.0
011,110,9.0,8.0,0.0,1.0,0.0,0.0
011,111,9.0,9.0,0.0,0.0,0.0,0.0
100,000,9.0,9.0,0.0,0.0,0.0,0.0
100,001,9.0,9.0,0.0,0.0,0.0,0.0
100,010,8.0,7.0,1.0,1.0,0.0,1.0
100,011,5.0,4.0,4.0,3.0,0.0,2.0
100,101,7.0,6.0,2.0,2.0,0.0,1.0
100,110,0.0,0.0,9.0,8.0,0.0,1.0
100,111,8.0,9.0,1.0,0.0,0.0,0.0
101,000,5.0,4.0,3.0,4.0,1.0,1.0
101,001,1.0,1.0,8.0,8.0,0.0,0.0
101,010,5.0,3.0,4.0,5.0,0.0,1.0
101,011,1.0,2.0,8.0,7.0,0.0,0.0
101,100,2.0,2.0,7.0,6.0,0.0,1.0
101,110,1.0,1.0,8.0,8.0,0.0,0.0
101,111,5.0,5.0,4.0,4.0,0.0,0.0
110,000,9.0,9.0,0.0,0.0,0.0,0.0
110,001,3.0,3.0,6.0,4.0,0.0,2.0
110,010,9.0,8.0,0.0,1.0,0.0,0.0
110,011,0.0,1.0,9.0,8.0,0.0,0.0
110,100,9.0,8.0,0.0,0.0,0.0,1.0
110,101,8.0,8.0,1.0,1.0,0.0,0.0
110,111,4.0,7.0,4.0,0.0,1.0,2.0
111,000,3.0,2.0,5.0,3.0,1.0,4.0
111,001,0.0,0.0,9.0,9.0,0.0,0.0
111,010,4.0,3.0,5.0,5.0,0.0,1.0
111,011,0.0,0.0,9.0,9.0,0.0,0.0
111,100,1.0,0.0,8.0,9.0,0.0,0.0
111,101,4.0,4.0,5.0,5.0,0.0,0.0
111,110,4.0,0.0,4.0,7.0,1.0,2.0
